!MOLECULE
PO spectroscopy from CDMS version April 2008 (with hfs)
!MASS
47.0
!Number of energy levels
116
!LEVEL + ENERGY(CM^-1) + WEIGHT + QUANTUM NOS.  ElecStateLabel_J_S_N_Lambda_v_F_parity_kronigParity
   75	   228.4305	   7	X_2.5_0.5_2_1_0_3.0_+_e
   76	   228.4305	   7	X_2.5_0.5_2_1_0_3.0_-_f
   77	   233.5546	   7	X_3.5_0.5_3_1_0_3.0_-_e
   78	   233.5546	   7	X_3.5_0.5_3_1_0_3.0_+_f
   79	   233.5605	   9	X_3.5_0.5_3_1_0_4.0_+_f
   80	   233.5605	   9	X_3.5_0.5_3_1_0_4.0_-_e
   81	   234.9936	  37	X_17.5_0.5_17_1_0_18.0_+_f
   82	    235.005	  35	X_17.5_0.5_17_1_0_17.0_+_f
   83	   235.1047	  35	X_17.5_0.5_17_1_0_17.0_-_e
   84	   235.1183	  37	X_17.5_0.5_17_1_0_18.0_-_e
   85	   240.1519	   9	X_4.5_0.5_4_1_0_4.0_+_e
   86	   240.1519	   9	X_4.5_0.5_4_1_0_4.0_-_f
   87	   240.1566	  11	X_4.5_0.5_4_1_0_5.0_+_e
   88	   240.1566	  11	X_4.5_0.5_4_1_0_5.0_-_f
   89	   248.2146	  11	X_5.5_0.5_5_1_0_5.0_-_e
   90	   248.2146	  11	X_5.5_0.5_5_1_0_5.0_+_f
   91	   248.2184	  13	X_5.5_0.5_5_1_0_6.0_-_e
   92	   248.2184	  13	X_5.5_0.5_5_1_0_6.0_+_f
   93	   257.7426	  13	X_6.5_0.5_6_1_0_6.0_+_e
   94	   257.7427	  13	X_6.5_0.5_6_1_0_6.0_-_f
   95	   257.7459	  15	X_6.5_0.5_6_1_0_7.0_+_e
   96	   257.7459	  15	X_6.5_0.5_6_1_0_7.0_-_f
   97	   261.9006	  39	X_18.5_0.5_18_1_0_19.0_-_f
   98	   261.9121	  37	X_18.5_0.5_18_1_0_18.0_-_f
   99	   262.0181	  37	X_18.5_0.5_18_1_0_18.0_+_e
  100	   262.0316	  39	X_18.5_0.5_18_1_0_19.0_+_e
  101	   268.7359	  15	X_7.5_0.5_7_1_0_7.0_-_e
  102	    268.736	  15	X_7.5_0.5_7_1_0_7.0_+_f
  103	   268.7387	  17	X_7.5_0.5_7_1_0_8.0_-_e
  104	   268.7388	  17	X_7.5_0.5_7_1_0_8.0_+_f
  105	   281.1943	  17	X_8.5_0.5_8_1_0_8.0_+_e
  106	   281.1944	  17	X_8.5_0.5_8_1_0_8.0_-_f
  107	   281.1968	  19	X_8.5_0.5_8_1_0_9.0_-_f
  108	   281.1968	  19	X_8.5_0.5_8_1_0_9.0_+_e
  109	   290.2594	  41	X_19.5_0.5_19_1_0_20.0_+_f
  110	   290.2708	  39	X_19.5_0.5_19_1_0_19.0_+_f
  111	   290.3832	  39	X_19.5_0.5_19_1_0_19.0_-_e
  112	   290.3967	  41	X_19.5_0.5_19_1_0_20.0_-_e
  113	   295.1176	  19	X_9.5_0.5_9_1_0_9.0_-_e
  114	   295.1177	  19	X_9.5_0.5_9_1_0_9.0_+_f
  115	   295.1198	  21	X_9.5_0.5_9_1_0_10.0_-_e
  116	   295.1199	  21	X_9.5_0.5_9_1_0_10.0_+_f
!NUMBER OF RADIATIVE TRANSITIONS
161
