# Ti chemistry from Phillip Stancil
# Ti related reactions are mainly copied from Si related reactions.
# Phillip's rates were based on UMIST2006
# Gargi Shaw updated the rates to UMIST2012 from UMIST2006.
# #Si5209 means that Reaction is copied from Si reaction, and the reaction number is 5209 in UMIST2012.
#
C+,TiO=>Ti+,CO:hmrate:1.E-9:0:0 # Churchwell et al. 1980,table III
C,TiO+=>Ti+,CO:hmrate:1.E-09:0:0 # Si2153
C+,TiS=>TiC+,S:hmrate:2.3E-009:-0.5:0 # Si1669
CH,Ti+=>TiC+,H:hmrate:6.3E-010:-0.5:0 # Si2487
CH,TiH+=>Ti,CH2+:hmrate:6.E-010:-0.5:0 # Si2488
CH,TiO+=>HCO+,Ti:hmrate:5.9E-010:-0.5:0 # Si2489
N,TiH+=>TiN+,H:hmrate:2.E-010:0:0 # Si3692
N,TiH2+=>HNTi+,H:hmrate:1.E-010:0:0 # Si3693
N,TiC+=>Ti+,CN:hmrate:7.7E-010:0:0 # Si3690
N,TiO+=>NO+,Ti:hmrate:9.E-011:0:0 # Si3696
N,TiO+=>NO,Ti+:hmrate:2.1E-010:0:0 # Si3697
CH2,Ti+=>HCTi+,H:hmrate:8.7E-010:0:0 # Si2239
CH2,TiO+=>H2CO,Ti+:hmrate:7.88E-010:0:0 # Si1589
NH,Ti+=>TiN+,H:hmrate:1.E-09:-0.5:0 # Si3846
CH3+,Ti=>HCTi+,H2:hmrate:2.E-010:0:0 # Si2318
CH3,Ti+=>HCTi+,H2:hmrate:1.E-09:0:0 # Si2323
O,TiH+=>TiO+,H:hmrate:4.E-010:0:0 # Si3977
O,TiH2+=>TiOH+,H:hmrate:6.3E-010:0:0 # Si3978
O,TiC+=>TiO+,C:hmrate:6.E-010:0:0 # Si3974
#O,TiN+=>TiO+,N:hmrate:1.E-09:0:0 # Si3982        #big blotches in coll_t4_Z30.in      ####
O,TiO+=>O2,Ti+:hmrate:2.E-010:0:0 # Si3985
O,TiNC+=>TiN+,CO:hmrate:1.E-010:0:0 # Si3983
OH,Ti+=>TiO+,H:hmrate:6.3E-010:-0.5:0 # Si4030
OH+,Ti=>TiH+,O:hmrate:1.9E-009:0:0 # Si4012
OH+,TiH=>TiH2+,O:hmrate:1.E-09:0:0 # Si4014
OH+,TiC=>HCTi+,O:hmrate:4.5E-009:-0.5:0 # Si4013
OH+,TiO=>TiOH+,O:hmrate:9.E-010:-0.5:0 # Si4015
NH3,TiH+=>Ti,NH4+:hmrate:1.E-09:-0.5:0 # Si3824
NH3,TiOH+=>NH4+,TiO:hmrate:2.5E-009:-0.5:0 # Si3825
NH3,HTiS+=>NH4+,TiS:hmrate:9.7E-010:-0.5:0 # Si3812
H2O,Ti+=>TiOH+,H:hmrate:2.30E-010:-0.5:0 # Si2790
H2O,TiH+=>Ti,H3O+:hmrate:8.E-010:-0.5:0 # Si2792
H2O,HNTi+=>TiN,H3O+:hmrate:2.E-009:-0.5:0 # Si2772
H2O,HTiS+=>TiOH+,H2S:hmrate:1.1E-009:-0.5:0 # Si2777
H3O+,Ti=>TiH+,H2O:hmrate:1.8E-009:0:0 # Si3039
H3O+,TiH=>TiH2+,H2O:hmrate:9.7E-010:0:0 # Si3045
H3O+,TiC=>HCTi+,H2O:hmrate:3.E-009:-0.5:0 # Si3042
H3O+,TiO=>TiOH+,H2O:hmrate:2.0E-009:-0.5:0 # Si3047
HF,Ti+=>TiF+,H:hmrate:5.7E-009:-0.5:0 # Si3236
C2,TiO+=>TiC+,CO:hmrate:7.6E-010:0:0 # Si1686
C2H,Ti+=>TiC2+,H:hmrate:1.E-9:0:0 # Si1972
C2H2+,Ti=>TiC2+,H2:hmrate:2.E-010:0:0 # Si1750
HCN,Ti+=>TiNC+,H:hmrate:1.4E-012:-0.5:0 # Si3106
HNC,Ti+=>TiNC+,H:hmrate:1.E-9:-0.5:0 # Si3267
HCN,HTiS+=>HCNH+,TiS:hmrate:6.1E-010:-0.5:0 # Si3101
CO,HNTi+=>TiN,HCO+:hmrate:2.E-009:0:0 # Si2508
CO,TiO+=>CO2,Ti+:hmrate:7.90E-010:0:0 # Si2513
HCNH+,Ti=>TiNC+,H2:hmrate:5.E-010:0:0 # Si3117
H2NC+,Ti=>TiNC+,H2:hmrate:5.E-010:0:0 # Si2723
Ti,HCO+=>TiH+,CO:hmrate:3.3E-010:0:0 # S3210
Ti+,C2H5OH=>TiOH+,C2H5:hmrate:2.2E-009:-0.5:0 # Si4080
#Ti+,H2CCCC=>C4H+,TiH:hmrate:1.37E-009:0:0 # Si2577
Ti+,HC4H=>C4H+,TiH:hmrate:1.6E-009:0:0 # SiRATE12, 20230827
Ti+,NCCN=>TiNC+,CN:hmrate:1.5E-010:0:0 # Si4091
Ti+,OCS=>TiS+,CO:hmrate:9.E-010:0:0 # Si409 
HCO+,TiH=>TiH2+,CO:hmrate:8.7E-010:0:0 # Si3223
HCO+,TiC=>HCTi+,CO:hmrate:2.E-009:-0.5:0 # Si3218
HCO+,TiO=>TiOH+,CO:hmrate:7.9E-010:-0.5:0 # Si3226
HCO+,TiS=>HTiS+,CO:hmrate:3.3E-009:-0.5:0 # Si3227
TiH,S+=>TiS+,H:hmrate:4.2E-010:0:0 # Si4106
TiH2+,O2=>TiOH+,OH:hmrate:2.4E-011:0:0 # Si4103
TiH2+,S=>HTiS+,H:hmrate:1.1E-09:0:0 # Si4104
O2,TiS+=>SO+,TiO:hmrate:6.23E-011:0:0 # Si3896
O2,TiS+=>TiO+,SO:hmrate:2.67E-011:0:0 # Si3897
S,TiO+=>SO,Ti+:hmrate:1.E-09:0:0 # Si4063
H2S,HTiS+=>H3S+,TiS:hmrate:2.9-010:-0.5:0 # Si2801
H+,Ti=>Ti+,H:hmrate:9.9E-010:0:0 # Si418 
H+,TiH=>TiH+,H:hmrate:1.7E-009:0:0 # Si431
H+,TiH2=>TiH2+,H:hmrate:1.5E-009:0:0 # Si428
H+,TiC=>TiC+,H:hmrate:3.E-009:-0.5:0 # Si425
H+,HCTi=>HCTi+,H:hmrate:1.5E-009:0:0 # Si392
H+,TiN=>TiN+,H:hmrate:3.E-009:-0.5:0 # Si432
H+,HNTi=>HNTi+,H:hmrate:1.5E-009:0:0 # Si394
#H+,TiO=>TiO+,H:hmrate:3.1E-007:0:0 # mil87    #big blotchs for h2_coll_t4.in, 20230826
H+,TiO=>TiO+,H:hmrate:1.E-009:0:0 # Churchwell et al. 1980,table III
H+,TiC2=>TiC2+,H:hmrate:3.E-009:-0.5:0 # Si419
H+,TiNC=>TiNC+,H:hmrate:3.E-009:-0.5:0 # Si433
H+,TiS=>TiS+,H:hmrate:1.50E-009:-0.5:0 # Si435
He+,Ti=>Ti+,He:hmrate:3.3E-009:0:0 # Si528
C+,Ti=>Ti+,C:hmrate:2.1E-009:0:0 # Si194
C+,TiH2=>TiH2+,C:hmrate:1.E-09:0:0 # Si201
C+,TiC=>TiC+,C:hmrate:2.50E-009:-0.5:0 # Si198
C+,TiN=>TiN+,C:hmrate:1.E-09:-0.5:0 # Si203
C+,TiC2=>TiC2+,C:hmrate:2.E-009:-0.5:0 # Si195
C+,TiS=>TiS+,C:hmrate:2.3E-009:-0.5:0 # Si204
CH+,Ti=>Ti+,CH:hmrate:2.E-010:0:0 # Si257
NH3+,Ti=>Ti+,NH3:hmrate:1.9E-009:0:0 # Si597
H2O+,Ti=>Ti+,H2O:hmrate:3.E-009:0:0 # Si477
Na,Ti+=>Ti,Na+:hmrate:2.7E-009:0:0 # Si645
#Mg,Ti+=>Ti,Mg+:hmrate:2.9E-009:0:0 # Si540      >9sig in Mg in limit_eden
Mg,TiO+=>TiO,Mg+:hmrate:1.E-09:0:0 # Si541
Ti,NO+=>NO,Ti+:hmrate:1.6E-009:0:0 # Si720
#Ti,H2CO+=>H2CO,Ti+:hmrate:2.E-009:0:0 # Si717
Ti,P+=>P,Ti+:hmrate:1.E-09:0:0 # Si722
Ti,O2+=>O2,Ti+:hmrate:1.6E-009:0:0 # Si721
Ti,S+=>S,Ti+:hmrate:1.6E-009:0:0 # Si723
Ti,HS+=>HS,Ti+:hmrate:1.4E-009:0:0 # Si719
Ti,H2S+=>H2S,Ti+:hmrate:1.60E-009:0:0 # Si718
Ti,CS+=>CS,Ti+:hmrate:1.50E-010:0:0 # Si716
#Ti+,Fe=>Fe+,Ti:hmrate:1.9E-009:0:0 # Si715   >9sig in IRON in limit_eden
